step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
10,0.025,0.0025000000000000005,200.48450000000005,0.3341408333266191,-0.16707041667221284,-0.16707041667221284,200.48450000000005,0.0,0.0,0.3341408333266191,-0.16707041667221284,-0.16707041667221284,200.48450000000005,0.0,0.0,0.0,3.124999999992717e-06,0.0,0.0012500000000000002,0.0,0.0,0.0,-3.124999999992717e-06,0.0,0.0012500000000000002,0.0,0.0,-1.562498372398137e-06,1.562498372390625e-06,0.0,0.0012499986979183687,0.0,0.0,1.562498372390625e-06,-1.562498372398137e-06,0.0,0.001249998697918369,0.0,0.0,0.0,-83.8952671304803,271135.3451173611,110747.57804694444,80193.8,271134.8439061111,110747.2439061111,80193.96707041666
11,0.0275,0.0027500000000000003,220.53295000000003,0.4043104083275239,-0.20215520417266528,-0.20215520417266528,220.53295000000003,0.0,0.0,0.4043104083275239,-0.20215520417266528,-0.20215520417266528,220.53295000000003,0.0,0.0,0.0,3.7812500000011795e-06,0.0,0.0013750000000000001,0.0,0.0,0.0,-3.7812500000011795e-06,0.0,0.0013750000000000001,0.0,0.0,-1.8906226170284854e-06,1.890622617029584e-06,0.0,0.0013749982669296883,0.0,0.0,1.890622617029584e-06,-1.8906226170284854e-06,0.0,0.0013749982669296885,0.0,0.0,0.0,-55.54237947795849,271135.403592007,110747.60143680275,80193.8,271134.7971263945,110747.19712639441,80194.00215520417
12,0.03,0.003,240.5814,0.48116279999602957,-0.24058139999801478,-0.24058139999801478,240.5814,0.0,0.0,0.48116279999602957,-0.24058139999801478,-0.24058139999801478,240.5814,0.0,0.0,0.0,4.499999999962867e-06,0.0,0.0015,0.0,0.0,0.0,-4.499999999962867e-06,0.0,0.0015,0.0,0.0,-2.249996625006293e-06,2.2499966249689037e-06,0.0,0.0014999977500040856,0.0,0.0,2.2499966249689037e-06,-2.249996625006293e-06,0.0,0.0014999977500040856,0.0,0.0,0.0,-27.189472332934827,271135.46763566666,110747.62705426668,80193.8,271134.7458914667,110747.14589146667,80194.04058140001
13,0.0325,0.0032500000000000003,259.82264956820006,0.5629490740632398,-0.2814745370316199,-0.2814745370316199,259.82264956820006,0.0,0.0,0.5629490740632398,-0.2814745370316199,-0.2814745370316199,259.82264956820006,0.0,0.0,0.0,5.281249999988802e-06,0.0,0.0016250000000000001,0.0,0.0,0.0,-5.281249999988802e-06,0.0,0.0016250000000000001,0.0,0.0,-2.6406203514098157e-06,2.6406203513985184e-06,0.0,0.0016249971393289906,0.0,0.0,2.6406203513985184e-06,-2.6406203514098157e-06,0.0,0.0016249971393289908,0.0,0.0,5.811379011493132e-06,3.8539837987627834e-10,270804.37663873914,110913.23389146359,1509.1777418196289,270802.9798951253,110912.67094433426,1509.45921635665
14,0.035,0.0035000000000000005,260.1995102405614,0.6070071136748585,-0.30350355684570673,-0.30350355684570673,260.1995102405614,0.0,0.0,0.6070071136748585,-0.30350355684570673,-0.30350355684570673,260.1995102405614,0.0,0.0,0.0,6.124999999967962e-06,0.0,0.0017500000000000003,0.0,0.0,0.0,-6.124999999967962e-06,0.0,0.0017500000000000003,0.0,0.0,-3.0624937474121093e-06,3.0624937473791508e-06,0.0,0.0017499964270921975,0.0,0.0,3.0624937473791508e-06,-3.0624937474121093e-06,0.0,0.0017499964270921973,0.0,0.0,0.00014743547385087956,5.684341886080802e-14,263620.0211558208,114505.44571676022,1505.7080212864967,263618.51247543626,114504.83938339887,1506.0115248433558
15,0.0375,0.00375,260.5755100432654,0.6481489486706167,-0.32407447434358666,-0.32407447434358666,260.5755100432654,0.0,0.0,0.6481489486706167,-0.32407447434358666,-0.32407447434358666,260.5755100432654,0.0,0.0,0.0,7.031250000011369e-06,0.0,0.001875,0.0,0.0,0.0,-7.031250000011369e-06,0.0,0.001875,0.0,0.0,-3.515616760276816e-06,3.515616760288485e-06,0.0,0.0018749956054810856,0.0,0.0,3.515616760288485e-06,-3.515616760276816e-06,0.0,0.0018749956054810856,0.0,0.0,0.0002890657662816117,0.0,263629.87070287496,114500.57879461454,1502.2682670830836,263628.1707150897,114499.94895100404,1502.592341557444
16,0.04,0.004,260.9506515346758,0.6865865012666829,-0.34329325064162053,-0.34329325064162053,260.9506515346758,0.0,0.0,0.6865865012666829,-0.34329325064162053,-0.34329325064162053,260.9506515346758,0.0,0.0,0.0,8.000000000008e-06,0.0,0.002,0.0,0.0,0.0,-8.000000000008e-06,0.0,0.002,0.0,0.0,-3.999989333367766e-06,3.999989333375446e-06,0.0,0.001999994666683736,0.0,0.0,3.999989333375446e-06,-3.999989333367766e-06,0.0,0.001999994666683736,0.0,0.0,0.00043070224002456076,1.1368683772161603e-13,263639.6794129023,114495.73646549892,1498.8384849524155,263637.7856805752,114495.08418301062,1499.1817782030575
17,0.0425,0.00425,261.32493713979727,0.7225160066269465,-0.3612580032969133,-0.3612580032969133,261.32493713979727,0.0,0.0,0.7225160066269465,-0.3612580032969133,-0.3612580032969133,261.32493713979727,0.0,0.0,0.0,9.031249999957858e-06,0.0,0.002125,0.0,0.0,0.0,-9.031249999957858e-06,0.0,0.002125,0.0,0.0,-4.515611406136132e-06,4.5156114060938145e-06,0.0,0.0021249936028876547,0.0,0.0,4.5156114060938145e-06,-4.515611406136132e-06,0.0,0.0021249936028876547,0.0,0.0,0.0005723448793098335,0.0,263649.44713847316,114490.91843646961,1495.4181959474226,263647.35771506006,114490.24461564833,1495.7794539507295
18,0.045,0.0045,261.6983691715234,0.7561191944344458,-0.37805959722550364,-0.37805959722550364,261.6983691715234,0.0,0.0,0.7561191944344458,-0.37805959722550364,-0.37805959722550364,261.6983691715234,0.0,0.0,0.0,1.0124999999971962e-05,0.0,0.00225,0.0,0.0,0.0,-1.0124999999971962e-05,0.0,0.00225,0.0,0.0,-5.062482914131862e-06,5.062482914103619e-06,0.0,0.0022499924062807752,0.0,0.0,5.062482914103619e-06,-5.062482914131862e-06,0.0,0.0022499924062807752,0.0,0.0,0.0007139936687984329,0.0,263659.17373630893,114486.12444604226,1492.0069978221582,263656.8871036035,114485.42983579458,1492.3850574193832
19,0.0475,0.004750000000000001,262.07094984885117,0.7875643800544966,-0.39378219001896675,-0.39378219001896675,262.07094984885117,0.0,0.0,0.7875643800544966,-0.39378219001896675,-0.39378219001896675,262.07094984885117,0.0,0.0,0.0,1.1281250000050314e-05,0.0,0.0023750000000000004,0.0,0.0,0.0,-1.1281250000050314e-05,0.0,0.0023750000000000004,0.0,0.0,-5.640603788995237e-06,5.64060378904586e-06,0.0,0.002374991069050682,0.0,0.0,5.64060378904586e-06,-5.640603788995237e-06,0.0,0.002374991069050682,0.0,0.0,0.0008556485935143188,0.0,263668.8590725495,114481.3542585459,1488.6045532841235,263666.37408506864,114480.63947339455,1488.9983354741557
