step,time,loading,path_conjugate_stress,cauchy_11,cauchy_22,cauchy_33,cauchy_12,cauchy_23,cauchy_13,kirchhoff_11,kirchhoff_22,kirchhoff_33,kirchhoff_12,kirchhoff_23,kirchhoff_13,green_lagrange_11,green_lagrange_22,green_lagrange_33,green_lagrange_12,green_lagrange_23,green_lagrange_13,euler_almansi_11,euler_almansi_22,euler_almansi_33,euler_almansi_12,euler_almansi_23,euler_almansi_13,material_log_11,material_log_22,material_log_33,material_log_12,material_log_23,material_log_13,spatial_log_11,spatial_log_22,spatial_log_33,spatial_log_12,spatial_log_23,spatial_log_13,equivalent_plastic_strain,yield_residual,A_1111,A_1122,A_1212,D_1111,D_1122,D_1212
10,0.025,0.0025000000000000005,452.8503193954086,301.9002129302983,-150.95010646511025,-150.95010646511025,0.0,0.0,0.0,301.9002129302984,-150.95010646511028,-150.95010646511028,0.0,0.0,0.0,0.002506260429700591,-0.0012484388012699021,-0.0012484388012699021,0.0,0.0,0.0,0.0024937604036590066,-0.0012515638028975928,-0.0012515638028975928,0.0,0.0,0.0,0.002500000000000059,-0.001249999999999964,-0.001249999999999964,0.0,0.0,0.0,0.002500000000000059,-0.001249999999999964,-0.001249999999999964,0.0,0.0,0.0,0.0006206871178524671,0.0,165077.614758784,163007.62808255214,70957.06369632063,165603.1695332523,163211.51502044374,70930.84269970038
11,0.0275,0.0027500000000000003,453.9712545299623,302.6475030199619,-151.32375151000042,-151.32375151000042,0.0,0.0,0.0,302.64750301996185,-151.3237515100004,-151.3237515100004,0.0,0.0,0.0,0.0027575763836681366,-0.0013731111068821522,-0.0013731111068821522,0.0,0.0,0.0,0.0027424513455405197,-0.0013768923592650806,-0.0013768923592650806,0.0,0.0,0.0,0.0027500000000000115,-0.0013750000000000684,-0.0013750000000000684,0.0,0.0,0.0,0.0027500000000000115,-0.0013750000000000684,-0.0013750000000000684,0.0,0.0,0.0,0.0008665296233480948,-5.684341886080802e-14,164986.49590426372,162991.19838558775,70994.06760958972,165593.7741307033,163215.46543162837,70950.4258755848
12,0.03,0.003,455.08775469023,303.39183646014277,-151.6959182300872,-151.6959182300872,0.0,0.0,0.0,303.39183646014277,-151.6959182300872,-151.6959182300872,0.0,0.0,0.0,0.003009018027032462,-0.0014977522483134997,-0.0014977522483134997,0.0,0.0,0.0,0.0029910179730324726,-0.0015022522516886516,-0.0015022522516886516,0.0,0.0,0.0,0.003000000000000029,-0.0014999999999999877,-0.0014999999999999877,0.0,0.0,0.0,0.003000000000000029,-0.0014999999999999877,-0.0014999999999999877,0.0,0.0,0.0,0.0011123917279131203,-5.684341886080802e-14,164895.46058562928,162974.75480496304,71030.92386103705,165584.4155761251,163219.40037547736,70969.84632744182
13,0.0325,0.0032500000000000003,456.19983724370445,304.1332248291258,-152.06661241457866,-152.06661241457866,0.0,0.0,0.0,304.1332248291258,-152.06661241457866,-152.06661241457866,0.0,0.0,0.0,0.00326058542265395,-0.0016223622333542687,-0.0016223622333542687,0.0,0.0,0.0,0.003239460348276213,-0.0016276434880029278,-0.0016276434880029278,0.0,0.0,0.0,0.0032500000000000827,-0.0016249999999999754,-0.0016249999999999754,0.0,0.0,0.0,0.0032500000000000827,-0.0016249999999999754,-0.0016249999999999754,0.0,0.0,0.0,0.0013582733547489539,0.0,164804.50860347765,162958.2974017614,71067.63420083396,165575.09373532885,163223.31990750646,70989.105921766
14,0.035,0.0035000000000000005,457.3075194955291,304.87167966371203,-152.43583983181708,-152.43583983181708,0.0,0.0,0.0,304.8716796637121,-152.4358398318171,-152.4358398318171,0.0,0.0,0.0,0.003512278633424404,-0.001746941069792507,-0.001746941069792507,0.0,0.0,0.0,0.0034877785333824463,-0.0017530660760451955,-0.0017530660760451955,0.0,0.0,0.0,0.0035000000000001254,-0.0017499999999999552,-0.0017499999999999552,0.0,0.0,0.0,0.0035000000000001254,-0.0017499999999999552,-0.0017499999999999552,0.0,0.0,0.0,0.0016041744273347872,-5.684341886080802e-14,164713.63975909038,162941.8262368697,71104.20035268679,165565.80847454543,163227.22408306372,71008.20649685687
15,0.0375,0.00375,458.4108186886728,305.6072124591152,-152.8036062295576,-152.8036062295576,0.0,0.0,0.0,305.6072124591152,-152.8036062295576,-152.8036062295576,0.0,0.0,0.0,0.0037640977222669347,-0.0018714887654144308,-0.0018714887654144308,0.0,0.0,0.0,0.003735972590430736,-0.0018785200236541844,-0.0018785200236541844,0.0,0.0,0.0,0.0037499999999999656,-0.0018749999999999657,-0.0018749999999999657,0.0,0.0,0.0,0.0037499999999999656,-0.0018749999999999657,-0.0018749999999999657,0.0,0.0,0.0,0.0018500948694258293,5.684341886080802e-14,164622.85385440354,162925.34137099097,71140.6240144019,165556.55966039732,163231.11295734227,71027.14986341639
16,0.04,0.004,459.5097520041099,306.33983466940134,-153.16991733470854,-153.16991733470854,0.0,0.0,0.0,306.33983466940134,-153.16991733470854,-153.16991733470854,0.0,0.0,0.0,0.004016042752136739,-0.001996005328004258,-0.001996005328004258,0.0,0.0,0.0,0.003984042581469671,-0.0020040053386709555,-0.0020040053386709555,0.0,0.0,0.0,0.0040000000000000235,-0.001999999999999994,-0.001999999999999994,0.0,0.0,0.0,0.0040000000000000235,-0.001999999999999994,-0.001999999999999994,0.0,0.0,0.0,0.0020960346050532337,-5.684341886080802e-14,164532.15069202668,162908.8428646364,71176.90685831511,165547.34715991764,163234.98658537184,71045.93780500971
17,0.0425,0.00425,460.60433656099667,307.0695577073206,-153.53477885367604,-153.53477885367604,0.0,0.0,0.0,307.0695577073206,-153.53477885367604,-153.53477885367604,0.0,0.0,0.0,0.004268113786019767,-0.0021204907653442073,-0.0021204907653442073,0.0,0.0,0.0,0.004231988568516587,-0.0021295220289381245,-0.0021295220289381245,0.0,0.0,0.0,0.0042499999999999925,-0.0021249999999999737,-0.0021249999999999737,0.0,0.0,0.0,0.0042499999999999925,-0.0021249999999999737,-0.0021249999999999737,0.0,0.0,0.0,0.002341993558522517,0.0,164441.53007521632,162892.3307781363,71213.0505318174,165538.1708405254,163238.84502202994,71064.57207862166
18,0.045,0.0045,461.69458941685195,307.79639294456797,-153.89819647228398,-153.89819647228398,0.0,0.0,0.0,307.79639294456797,-153.89819647228398,-153.89819647228398,0.0,0.0,0.0,0.0045203108869338315,-0.002244945085214667,-0.002244945085214667,0.0,0.0,0.0,0.004479810613558066,-0.002255070102300638,-0.002255070102300638,0.0,0.0,0.0,0.004499999999999925,-0.0022499999999999526,-0.0022499999999999526,0.0,0.0,0.0,0.004499999999999925,-0.0022499999999999526,-0.0022499999999999526,0.0,0.0,0.0,0.0025879716544137416,-5.684341886080802e-14,164350.99180788756,162875.80517163483,71249.05665776081,165529.03057003813,163242.6883220364,71083.05441509305
19,0.0475,0.004750000000000001,462.78052756773207,308.52035171182666,-154.26017585590537,-154.26017585590537,0.0,0.0,0.0,308.52035171182666,-154.26017585590537,-154.26017585590537,0.0,0.0,0.0,0.004772634117928387,-0.002369368295394081,-0.002369368295394081,0.0,0.0,0.0,0.004727508778549716,-0.0023806495666051086,-0.0023806495666051086,0.0,0.0,0.0,0.004749999999999998,-0.0023749999999999804,-0.0023749999999999804,0.0,0.0,0.0,0.004749999999999998,-0.0023749999999999804,-0.0023749999999999804,0.0,0.0,0.0,0.00283396881757979,5.684341886080802e-14,164260.53569462325,162859.26610508398,71284.92683497595,165519.92621668213,163246.5165399471,71101.3865196673
